order_id,user_id,product_id,product_name,category,province,city,price,quantity,order_time,pay_status
2026052200001,u0061,p006,莆田桂圆干,干货,广东省,广州,45.00,3,2026-05-22 02:28:03,未支付
2026030200002,u0088,p003,平和蜜柚,水果,浙江省,杭州,35.50,3,2026-03-02 13:33:48,已支付
2026022300003,u0041,p003,平和蜜柚,水果,福建省,福州,35.50,4,2026-02-23 02:52:02,已支付
2026032500004,u0143,p009,闽北香菇,干货,福建省,泉州,55.00,3,2026-03-25 00:01:36,已退款
2026032400005,u0079,p011,厦门芒果干,干货,浙江省,杭州,38.00,3,2026-03-24 09:35:18,已支付
2026051900006,u0140,p009,闽北香菇,干货,福建省,福州,55.00,4,2026-05-19 13:38:48,已支付
2026021600007,u0016,p001,武夷岩茶,茶叶,福建省,福州,199.00,1,2026-02-16 17:51:55,未支付
2026011700008,u0143,p005,古田银耳,干货,福建省,泉州,68.00,5,2026-01-17 20:26:01,已退款
2026030400009,u0046,p002,安溪铁观音,茶叶,福建省,厦门,150.00,2,2026-03-04 04:17:11,已退款
2026032600010,u0058,p008,永春芦柑,水果,浙江省,杭州,-10.00,2,2026-03-26 07:43:18,已支付
2026052200011,u0141,p008,永春芦柑,水果,上海市,上海,28.00,4,2026-05-22 22:52:53,已支付
2026021200012,u0019,p001,武夷岩茶,茶叶,上海市,上海,199.00,4,2026-02-12 15:34:22,已支付
2026021900013,u0177,p001,武夷岩茶,茶叶,福建省,福州,199.00,1,2026-02-19 09:32:46,已支付
2026020400014,u0088,p006,莆田桂圆干,干货,浙江省,杭州,45.00,0,2026-02-04 12:49:31,已支付
2026051600015,u0137,p011,厦门芒果干,干货,福建省,泉州,38.00,2,2026-05-16 17:54:00,未支付
2026022400016,u0047,p004,漳州蕉,水果,福建省,福州,20.00,1,2026-02-24 19:22:10,未支付
2026031600017,u0064,p007,福鼎白茶,茶叶,广东省,广州,180.00,2,2026-03-16 14:06:39,未支付
2026022200018,u0051,p004,漳州蕉,水果,福建省,厦门,20.00,2,2026-02-22 10:50:32,已退款
2026012500019,u0189,p001,武夷岩茶,茶叶,福建省,福州,199.00,0,2026-01-25 20:40:36,未支付
2026032400020,u0150,p012,漳州荔枝,水果,福建省,厦门,-10.00,4,2026-03-24 23:01:14,已支付
2026022100021,u0017,p002,安溪铁观音,茶叶,福建省,泉州,150.00,4,2026-02-21 04:09:54,已支付
2026052700022,u0199,p008,永春芦柑,水果,广东省,广州,28.00,0,2026-05-27 21:01:26,已支付
2026020300023,u0041,p002,安溪铁观音,茶叶,浙江省,杭州,150.00,5,2026-02-03 15:20:06,已支付
2026050300024,u0174,p010,福州茉莉花茶,茶叶,福建省,福州,120.00,4,2026-05-03 19:36:36,未支付
2026052600025,u0162,p006,莆田桂圆干,干货,福建省,福州,45.00,0,2026-05-26 21:00:16,已支付
2026052100026,u0044,p001,武夷岩茶,茶叶,广东省,广州,199.00,3,2026-05-21 02:39:01,已支付
2026031100027,u0063,p007,福鼎白茶,茶叶,福建省,泉州,180.00,4,2026-03-11 16:17:02,已支付
2026030400028,u0034,p002,安溪铁观音,茶叶,福建省,厦门,150.00,5,2026-03-04 13:05:26,已支付
2026011300029,u0182,p011,厦门芒果干,干货,上海市,上海,38.00,3,2026-01-13 04:09:30,已支付
