order_id,user_id,product_id,price,quantity,sales_amount,order_time,order_date,month_num,week_num,pay_status
2026052200001,u0061,p006,45.00,3,135.00,2026-05-22 02:28:03,2026-05-22,5,21,未支付
2026030200002,u0088,p003,35.50,3,106.50,2026-03-02 13:33:48,2026-03-02,3,10,已支付
2026022300003,u0041,p003,35.50,4,142.00,2026-02-23 02:52:02,2026-02-23,2,9,已支付
2026032500004,u0143,p009,55.00,3,165.00,2026-03-25 00:01:36,2026-03-25,3,13,已退款
2026032400005,u0079,p011,38.00,3,114.00,2026-03-24 09:35:18,2026-03-24,3,13,已支付
2026051900006,u0140,p009,55.00,4,220.00,2026-05-19 13:38:48,2026-05-19,5,21,已支付
2026021600007,u0016,p001,199.00,1,199.00,2026-02-16 17:51:55,2026-02-16,2,8,未支付
2026011700008,u0143,p005,68.00,5,340.00,2026-01-17 20:26:01,2026-01-17,1,3,已退款
2026030400009,u0046,p002,150.00,2,300.00,2026-03-04 04:17:11,2026-03-04,3,10,已退款
2026052200011,u0141,p008,28.00,4,112.00,2026-05-22 22:52:53,2026-05-22,5,21,已支付
2026021200012,u0019,p001,199.00,4,796.00,2026-02-12 15:34:22,2026-02-12,2,7,已支付
2026021900013,u0177,p001,199.00,1,199.00,2026-02-19 09:32:46,2026-02-19,2,8,已支付
2026051600015,u0137,p011,38.00,2,76.00,2026-05-16 17:54:00,2026-05-16,5,20,未支付
2026022400016,u0047,p004,20.00,1,20.00,2026-02-24 19:22:10,2026-02-24,2,9,未支付
2026031600017,u0064,p007,180.00,2,360.00,2026-03-16 14:06:39,2026-03-16,3,12,未支付
2026022200018,u0051,p004,20.00,2,40.00,2026-02-22 10:50:32,2026-02-22,2,8,已退款
2026022100021,u0017,p002,150.00,4,600.00,2026-02-21 04:09:54,2026-02-21,2,8,已支付
2026020300023,u0041,p002,150.00,5,750.00,2026-02-03 15:20:06,2026-02-03,2,6,已支付
2026050300024,u0174,p010,120.00,4,480.00,2026-05-03 19:36:36,2026-05-03,5,18,未支付
2026052100026,u0044,p001,199.00,3,597.00,2026-05-21 02:39:01,2026-05-21,5,21,已支付
2026031100027,u0063,p007,180.00,4,720.00,2026-03-11 16:17:02,2026-03-11,3,11,已支付
2026030400028,u0034,p002,150.00,5,750.00,2026-03-04 13:05:26,2026-03-04,3,10,已支付
2026011300029,u0182,p011,38.00,3,114.00,2026-01-13 04:09:30,2026-01-13,1,3,已支付
2026040100030,u0162,p008,28.00,4,112.00,2026-04-01 19:28:07,2026-04-01,4,14,已支付
2026052100031,u0109,p006,45.00,3,135.00,2026-05-21 03:06:34,2026-05-21,5,21,已支付
2026042400033,u0046,p001,199.00,3,597.00,2026-04-24 00:38:28,2026-04-24,4,17,已退款
2026011500034,u0078,p009,55.00,3,165.00,2026-01-15 20:20:06,2026-01-15,1,3,已支付
2026042600035,u0135,p011,38.00,3,114.00,2026-04-26 04:25:20,2026-04-26,4,17,未支付
2026032100036,u0197,p008,28.00,5,140.00,2026-03-21 18:19:11,2026-03-21,3,12,已退款
2026010300037,u0154,p002,150.00,5,750.00,2026-01-03 14:47:50,2026-01-03,1,1,已支付
